ScreenName,FollowersCount,FriendsCount,Lineage,Status,Class,NetworkSize,Indegree,Outdegree
369,GMan82721611,273,585,jackcade1381:GMan82721611,Child,1,858,0.3181818181818182,0.6818181818181818
152,jjpaldad,92,130,,Parent,1,222,0.4144144144144144,0.5855855855855856
546,bordersnbetween,502,1270,FredSeguinPhoto:bordersnbetween,Child,1,1772,0.2832957110609481,0.7167042889390519
1745,monica_remy,3353,4172,ModernBullWagyu:monica_remy,Child,1,7525,0.44558139534883723,0.5544186046511628
545,editions_g,4,5,FredSeguinPhoto:editions_g,Child,1,9,0.4444444444444444,0.5555555555555556
240,SPcommentary,1445,4988,,Parent,1,6433,0.224623037463081,0.775376962536919
483,AnneSchlegel1,12897,12739,IMNHIM:AnneSchlegel1,Child,1,25636,0.503081603994383,0.4969183960056171
699,MonteMadeIt18,1803,1829,JustJaiDann:MonteMadeIt18,Child,1,3632,0.49642070484581496,0.503579295154185
480,EricDemmers,11,120,,Parent,1,131,0.08396946564885496,0.916030534351145
489,volk1911,117,492,tevenski:volk1911,Child,1,609,0.1921182266009852,0.8078817733990148
868,biltongboy77,1806,4012,TGRWorzel:biltongboy77,Child,1,5818,0.31041595049845305,0.689584049501547
305,jtwilson37,118,241,,Parent,1,359,0.3286908077994429,0.6713091922005571
600,Danagil187,20,119,EboniiAtia:Danagil187,Child,1,139,0.14388489208633093,0.8561151079136691
845,jaysin_liberty,1394,4377,jacobstim:jaysin_liberty,Child,1,5771,0.2415525905389014,0.7584474094610986
869,NellyPhant,850,1577,TGRWorzel:NellyPhant,Child,1,2427,0.35022661722290893,0.6497733827770911
658,Citizens4Trump,10520,8833,Conscores:Citizens4Trump,Child,1,19353,0.5435849739058544,0.45641502609414564
152,simashabaneh,101,294,yarnellmark:simashabaneh,Child,1,395,0.25569620253164554,0.7443037974683544
249,jb7675,199,260,,Parent,1,459,0.4335511982570806,0.5664488017429193
850,beth_lord9,115,314,thederbyapex:beth_lord9,Child,1,429,0.2680652680652681,0.7319347319347319
1382,ultra_rocks,1159,1325,Szymonkb:ultra_rocks,Child,1,2484,0.4665861513687601,0.53341384863124
215,CorbynASAP,16205,16249,PlutoPress:CorbynASAP,Child,1,32454,0.4993221174585567,0.5006778825414433
1727,IgorZabelOrg,14,43,valentinasns:IgorZabelOrg,Child,1,57,0.24561403508771928,0.7543859649122807
213,realAmericanJoe,238,1128,WannaBRichyrich:realAmericanJoe,Child,1,1366,0.17423133235724744,0.8257686676427526
616,vaness_ness_,80,158,mrltnpapi:vaness_ness_,Child,1,238,0.33613445378151263,0.6638655462184874
1750,lornaynay,388,297,Daily_Defender:lornaynay,Child,1,685,0.5664233576642336,0.4335766423357664
1051,WzDemShitPoster,45,258,colovion:WzDemShitPoster,Child,1,303,0.1485148514851485,0.8514851485148515
431,IRR_News,3612,1542,,Parent,1,5154,0.7008149010477299,0.2991850989522701
1807,OsgurOCiardha,4221,2565,markohalloran:OsgurOCiardha,Child,1,6786,0.6220159151193634,0.3779840848806366
